p_msmw_w,replicate,batch,measure,value
0.05,211,1,MSM.MSMW,0.005327908553715
0.05,211,4,MSM.MSMW,0.008690440515433
0.05,213,1,MSM.MSMW,0.0043813332734176
0.05,213,3,MSM.MSMW,0.0085812225366369
0.05,215,3,MSM.MSMW,0.0076533316373041
0.05,216,2,MSM.MSMW,0.0068596515297022
0.05,218,1,MSM.MSMW,0.0072256161786391
0.05,220,2,MSM.MSMW,0.0090049739515805
0.05,221,1,MSM.MSMW,0.0050920057694829
0.05,222,2,MSM.MSMW,0.0058204384595104
0.05,222,3,MSM.MSMW,0.0045005464949315
0.05,224,1,MSM.MSMW,0.005890159011012
0.05,225,3,MSM.MSMW,0.007346230048307
0.05,227,1,MSM.MSMW,0.0052325581395348
0.05,227,4,MSM.MSMW,0.0064896620821568
0.05,228,2,MSM.MSMW,0.0074416156202143
0.05,228,3,MSM.MSMW,0.0074845712785048
0.05,229,1,MSM.MSMW,0.0046551600658884
0.05,229,4,MSM.MSMW,0.0072721713873905
0.05,231,2,MSM.MSMW,0.0072694435037814
0.05,233,1,MSM.MSMW,0.0096151552024431
0.05,234,1,MSM.MSMW,0.0047164731979411
0.05,237,3,MSM.MSMW,0.0078458049886621
0.05,238,1,MSM.MSMW,0.0040581670612106
0.05,241,3,MSM.MSMW,0.0099654309214447
0.05,242,1,MSM.MSMW,0.0071692120872448
0.05,242,2,MSM.MSMW,0.0055704384062593
0.05,243,2,MSM.MSMW,0.0055407590602111
0.05,244,1,MSM.MSMW,0.0033403466151877
0.05,244,2,MSM.MSMW,0.0070489844683393
0.05,244,3,MSM.MSMW,0.0078821872451879
0.05,246,1,MSM.MSMW,0.0040833292581544
0.05,247,3,MSM.MSMW,0.0076384599547045
0.05,248,1,MSM.MSMW,0.0065945388974755
0.05,249,2,MSM.MSMW,0.0029318579467536
0.05,1,3,MSMW.MSW,0.0565692161454107
0.05,1,4,MSMW.MSW,0.0466423287539629
0.05,2,2,MSMW.MSW,0.0661498005077983
0.05,2,4,MSMW.MSW,0.0506907232811051
0.05,3,2,MSMW.MSW,0.0366459751302369
0.05,4,4,MSMW.MSW,0.0341091204822159
0.05,5,4,MSMW.MSW,0.035547567920829
0.05,6,3,MSMW.MSW,0.0345827086456771
0.05,6,4,MSMW.MSW,0.0400645086971547
0.05,8,2,MSMW.MSW,0.0525486504737154
0.05,10,2,MSMW.MSW,0.0382128684175324
0.05,12,4,MSMW.MSW,0.0538579322282138
0.05,13,1,MSMW.MSW,0.0354487024809704
0.05,13,4,MSMW.MSW,0.0482775177049573
0.05,14,3,MSMW.MSW,0.0486746422707013
0.05,15,1,MSMW.MSW,0.0455127618699112
0.05,16,3,MSMW.MSW,0.0528835194894005
0.05,17,1,MSMW.MSW,0.0530333372599835
0.05,17,2,MSMW.MSW,0.0412926776894996
0.05,17,4,MSMW.MSW,0.0633606139349637
0.05,18,2,MSMW.MSW,0.0389154483937273
0.05,18,3,MSMW.MSW,0.0432365087788108
0.05,19,2,MSMW.MSW,0.0643920077882342
0.05,19,4,MSMW.MSW,0.0419122933141624
0.05,20,3,MSMW.MSW,0.060408728784205
0.05,20,4,MSMW.MSW,0.046064188141933
0.05,21,1,MSMW.MSW,0.0497720543309677
0.05,21,2,MSMW.MSW,0.052558424425179
0.05,22,2,MSMW.MSW,0.0606302626474682
0.05,24,1,MSMW.MSW,0.04237199691081
0.05,24,2,MSMW.MSW,0.0316779151874536
0.05,24,3,MSMW.MSW,0.0541699722332407
0.05,26,1,MSMW.MSW,0.0472925256851265
0.05,26,3,MSMW.MSW,0.0573851845168275
0.05,28,4,MSMW.MSW,0.0600454309094392
0.05,29,1,MSMW.MSW,0.0548678342216904
0.05,31,1,MSMW.MSW,0.039534158261412
0.05,31,4,MSMW.MSW,0.0477613323141778
0.05,32,2,MSMW.MSW,0.0606761396147243
0.05,32,3,MSMW.MSW,0.042228964767684
0.05,32,4,MSMW.MSW,0.0326566221027563
0.05,33,1,MSMW.MSW,0.0485116010824719
0.05,34,3,MSMW.MSW,0.0375536735226437
0.05,35,2,MSMW.MSW,0.046624327852891
0.05,36,4,MSMW.MSW,0.0473371502646645
0.05,38,2,MSMW.MSW,0.0480073928612683
0.05,39,3,MSMW.MSW,0.0624775841044401
