sim_id,p_msmw_w,measure,method,value
0.05_072,0.05,average_time_in_MSM_network,MSM+MSMW,493.98304790054766
0.05_072,0.05,average_time_in_WSM_network,MSM+MSMW,899.1924294978134
0.05_072,0.05,average_time_in_network_overall,MSM+MSMW,642.1546266681372
0.05_072,0.05,total_between_network_proportion,MSM+MSMW,0.0045392455605758
0.05_072,0.05,total_triplet_proportion,MSM+MSMW,0.0033203740674582
0.05_072,0.05,MSM_group_to_WSM_group_proportion,MSMW+MSW,0.0217295366186823
0.05_072,0.05,MSM_group_to_WSM_group_triplet_proportion,MSMW+MSW,0.0170011558264158
0.05_072,0.05,WSM_group_to_MSM_group_proportion,MSMW+MSW,0.025281075969318
0.05_072,0.05,WSM_group_to_MSM_group_triplet_proportion,MSMW+MSW,0.0077965745508038
0.05_072,0.05,average_time_in_MSM_network,MSMW+MSW,222.26174803149607
0.05_072,0.05,average_time_in_WSM_network,MSMW+MSW,94.93573144803028
0.05_072,0.05,average_time_in_network_overall,MSMW+MSW,161.56231098219214
0.05_072,0.05,total_between_network_proportion,MSMW+MSW,0.0470106125880004
0.05_072,0.05,total_triplet_proportion,MSMW+MSW,0.0247977303772197
0.05_077,0.05,MSM_group_to_WSM_group_proportion,MSM+MSMW,0.0026660318971673
0.05_077,0.05,MSM_group_to_WSM_group_triplet_proportion,MSM+MSMW,0.0014044275172577
0.05_077,0.05,WSM_group_to_MSM_group_proportion,MSM+MSMW,0.0018567007855272
0.05_077,0.05,WSM_group_to_MSM_group_triplet_proportion,MSM+MSMW,0.001142585098786
0.05_077,0.05,average_time_in_MSM_network,MSM+MSMW,1265.7776695877965
0.05_077,0.05,average_time_in_WSM_network,MSM+MSMW,648.7847804223935
0.05_077,0.05,average_time_in_network_overall,MSM+MSMW,962.2668205804748
0.05_077,0.05,total_between_network_proportion,MSM+MSMW,0.0045227326826945
0.05_077,0.05,total_triplet_proportion,MSM+MSMW,0.0025470126160437
0.05_077,0.05,MSM_group_to_WSM_group_proportion,MSMW+MSW,0.0215662937395858
0.05_077,0.05,MSM_group_to_WSM_group_triplet_proportion,MSMW+MSW,0.0149726255653415
0.05_077,0.05,WSM_group_to_MSM_group_proportion,MSMW+MSW,0.0261366341347298
0.05_077,0.05,WSM_group_to_MSM_group_triplet_proportion,MSMW+MSW,0.0085931920971197
0.05_077,0.05,average_time_in_MSM_network,MSMW+MSW,119.81303880026034
0.05_077,0.05,average_time_in_WSM_network,MSMW+MSW,53.06496958955975
0.05_077,0.05,average_time_in_network_overall,MSMW+MSW,86.6177252210144
0.05_077,0.05,total_between_network_proportion,MSMW+MSW,0.0477029278743156
0.05_077,0.05,total_triplet_proportion,MSMW+MSW,0.0235658176624613
0.05_088,0.05,MSM_group_to_WSM_group_proportion,MSM+MSMW,0.0021457563144696
0.05_088,0.05,MSM_group_to_WSM_group_triplet_proportion,MSM+MSMW,0.0011633618572425
0.05_088,0.05,WSM_group_to_MSM_group_proportion,MSM+MSMW,0.0016028541144231
0.05_088,0.05,WSM_group_to_MSM_group_triplet_proportion,MSM+MSMW,0.000878984514361
