measure,MSM+MSMW,MSMW+MSW,p_msmw_w,replicate
MSM_group_to_WSM_group_triplet_proportion,45908,45908,0.05,90
WSM_group_to_MSM_group_proportion,45908,45908,0.05,90
WSM_group_to_MSM_group_triplet_proportion,45908,45908,0.05,90
average_time_in_MSM_network,5988,98250,0.05,90
average_time_in_WSM_network,2564,94010,0.05,90
average_time_in_network_overall,8552,192260,0.05,90
total_between_network_proportion,45908,45908,0.05,90
total_triplet_proportion,45908,45908,0.05,90
MSM_group_to_WSM_group_proportion,45059,45059,0.05,91
MSM_group_to_WSM_group_triplet_proportion,45059,45059,0.05,91
WSM_group_to_MSM_group_proportion,45059,45059,0.05,91
WSM_group_to_MSM_group_triplet_proportion,45059,45059,0.05,91
average_time_in_MSM_network,4824,89301,0.05,91
average_time_in_WSM_network,5829,89956,0.05,91
average_time_in_network_overall,10653,179257,0.05,91
total_between_network_proportion,45059,45059,0.05,91
total_triplet_proportion,45059,45059,0.05,91
MSM_group_to_WSM_group_proportion,47131,47131,0.05,92
MSM_group_to_WSM_group_triplet_proportion,47131,47131,0.05,92
WSM_group_to_MSM_group_proportion,47131,47131,0.05,92
WSM_group_to_MSM_group_triplet_proportion,47131,47131,0.05,92
average_time_in_MSM_network,5280,129751,0.05,92
average_time_in_WSM_network,4175,129934,0.05,92
average_time_in_network_overall,9455,259685,0.05,92
total_between_network_proportion,47131,47131,0.05,92
total_triplet_proportion,47131,47131,0.05,92
MSM_group_to_WSM_group_proportion,45388,45388,0.05,93
MSM_group_to_WSM_group_triplet_proportion,45388,45388,0.05,93
WSM_group_to_MSM_group_proportion,45388,45388,0.05,93
WSM_group_to_MSM_group_triplet_proportion,45388,45388,0.05,93
average_time_in_MSM_network,8885,51479,0.05,93
average_time_in_WSM_network,7145,48949,0.05,93
average_time_in_network_overall,16030,100428,0.05,93
total_between_network_proportion,45388,45388,0.05,93
total_triplet_proportion,45388,45388,0.05,93
MSM_group_to_WSM_group_proportion,41690,41690,0.05,95
MSM_group_to_WSM_group_triplet_proportion,41690,41690,0.05,95
WSM_group_to_MSM_group_proportion,41690,41690,0.05,95
WSM_group_to_MSM_group_triplet_proportion,41690,41690,0.05,95
average_time_in_MSM_network,3143,57905,0.05,95
average_time_in_WSM_network,805,54763,0.05,95
average_time_in_network_overall,3948,112668,0.05,95
total_between_network_proportion,41690,41690,0.05,95
total_triplet_proportion,41690,41690,0.05,95
MSM_group_to_WSM_group_proportion,46228,46228,0.05,97
MSM_group_to_WSM_group_triplet_proportion,46228,46228,0.05,97
WSM_group_to_MSM_group_proportion,46228,46228,0.05,97
WSM_group_to_MSM_group_triplet_proportion,46228,46228,0.05,97
average_time_in_MSM_network,8363,37248,0.05,97
average_time_in_WSM_network,10946,38918,0.05,97
average_time_in_network_overall,19309,76166,0.05,97
total_between_network_proportion,46228,46228,0.05,97
total_triplet_proportion,46228,46228,0.05,97
MSM_group_to_WSM_group_proportion,40407,40407,0.05,104
MSM_group_to_WSM_group_triplet_proportion,40407,40407,0.05,104
WSM_group_to_MSM_group_proportion,40407,40407,0.05,104
WSM_group_to_MSM_group_triplet_proportion,40407,40407,0.05,104
average_time_in_MSM_network,4959,75367,0.05,104
average_time_in_WSM_network,3276,73497,0.05,104
average_time_in_network_overall,8235,148864,0.05,104
total_between_network_proportion,40407,40407,0.05,104
total_triplet_proportion,40407,40407,0.05,104
MSM_group_to_WSM_group_proportion,42688,42688,0.05,107
MSM_group_to_WSM_group_triplet_proportion,42688,42688,0.05,107
WSM_group_to_MSM_group_proportion,42688,42688,0.05,107
WSM_group_to_MSM_group_triplet_proportion,42688,42688,0.05,107
average_time_in_MSM_network,33910,168796,0.05,107
average_time_in_WSM_network,19033,153220,0.05,107
average_time_in_network_overall,52943,322016,0.05,107
total_between_network_proportion,42688,42688,0.05,107
total_triplet_proportion,42688,42688,0.05,107
MSM_group_to_WSM_group_proportion,46171,46171,0.05,113
MSM_group_to_WSM_group_triplet_proportion,46171,46171,0.05,113
WSM_group_to_MSM_group_proportion,46171,46171,0.05,113
WSM_group_to_MSM_group_triplet_proportion,46171,46171,0.05,113
average_time_in_MSM_network,13186,111809,0.05,113
average_time_in_WSM_network,7349,105746,0.05,113
average_time_in_network_overall,20535,217555,0.05,113
total_between_network_proportion,46171,46171,0.05,113
total_triplet_proportion,46171,46171,0.05,113
MSM_group_to_WSM_group_proportion,45761,45761,0.05,120
MSM_group_to_WSM_group_triplet_proportion,45761,45761,0.05,120
WSM_group_to_MSM_group_proportion,45761,45761,0.05,120
WSM_group_to_MSM_group_triplet_proportion,45761,45761,0.05,120
average_time_in_MSM_network,4894,102887,0.05,120
average_time_in_WSM_network,774,98732,0.05,120
average_time_in_network_overall,5668,201619,0.05,120
total_between_network_proportion,45761,45761,0.05,120
total_triplet_proportion,45761,45761,0.05,120
